0.00.183.376 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.308.508 W srv  llama_server: -----------------
0.00.308.510 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.308.511 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.308.511 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.308.511 W srv  llama_server: -----------------
0.00.310.094 I srv    load_model: loading model '/home/awee/models/deepseek-v4-flash/DeepSeek-V4-Flash-0731-TQ3_4S_v9a.gguf'
0.00.843.899 W llama_model_loader: tensor overrides to CPU are used with mmap enabled - consider using --no-mmap for better performance
1.50.811.842 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 524288, kv_unified = 'false'
1.50.822.704 I srv  llama_server: model loaded
1.50.822.710 I srv  llama_server: listening on http://127.0.0.1:8086
18.38.855.242 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
18.38.855.304 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
18.41.247.103 I slot print_timing: id  0 | task 0 | prompt eval time =     950.43 ms /    18 tokens (   52.80 ms per token,    18.94 tokens per second)
18.41.247.107 I slot print_timing: id  0 | task 0 |        eval time =    1441.34 ms /    20 tokens (   72.07 ms per token,    13.88 tokens per second)
18.41.247.108 I slot print_timing: id  0 | task 0 |       total time =    2391.77 ms /    38 tokens
18.41.247.112 I slot print_timing: id  0 | task 0 |    graphs reused =         19
18.41.247.150 I slot      release: id  0 | task 0 | stop processing: n_tokens = 37, truncated = 0
18.41.261.404 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.278 (> 0.100 thold), f_keep = 0.135
18.41.276.540 I slot launch_slot_: id  0 | task 22 | processing task, is_child = 0
18.44.946.315 I slot print_timing: id  0 | task 22 | prompt eval time =     730.91 ms /    18 tokens (   40.61 ms per token,    24.63 tokens per second)
18.44.946.319 I slot print_timing: id  0 | task 22 |        eval time =    2938.84 ms /    40 tokens (   73.47 ms per token,    13.61 tokens per second)
18.44.946.319 I slot print_timing: id  0 | task 22 |       total time =    3669.75 ms /    58 tokens
18.44.946.320 I slot print_timing: id  0 | task 22 |    graphs reused =         57
18.44.946.343 I slot      release: id  0 | task 22 | stop processing: n_tokens = 57, truncated = 0
18.44.959.962 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.278 (> 0.100 thold), f_keep = 0.088
18.44.974.892 I slot launch_slot_: id  0 | task 64 | processing task, is_child = 0
18.47.213.376 I slot print_timing: id  0 | task 64 | prompt eval time =     707.39 ms /    18 tokens (   39.30 ms per token,    25.45 tokens per second)
18.47.213.381 I slot print_timing: id  0 | task 64 |        eval time =    1531.08 ms /    22 tokens (   69.59 ms per token,    14.37 tokens per second)
18.47.213.381 I slot print_timing: id  0 | task 64 |       total time =    2238.46 ms /    40 tokens
18.47.213.382 I slot print_timing: id  0 | task 64 |    graphs reused =         77
18.47.213.407 I slot      release: id  0 | task 64 | stop processing: n_tokens = 39, truncated = 0
18.47.255.498 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 3015151060385
18.47.270.323 I slot launch_slot_: id  0 | task 88 | processing task, is_child = 0
18.55.385.961 I slot print_timing: id  0 | task 88 | n_decoded =    100, tg =  13.73 t/s, tg_3s =  13.73 t/s
18.58.459.744 I slot print_timing: id  0 | task 88 | n_decoded =    142, tg =  13.71 t/s, tg_3s =  13.66 t/s
19.01.478.081 I slot print_timing: id  0 | task 88 | n_decoded =    183, tg =  13.68 t/s, tg_3s =  13.58 t/s
19.04.504.210 I slot print_timing: id  0 | task 88 | n_decoded =    222, tg =  13.53 t/s, tg_3s =  12.89 t/s
19.07.569.378 I slot print_timing: id  0 | task 88 | n_decoded =    261, tg =  13.41 t/s, tg_3s =  12.72 t/s
19.10.595.362 I slot print_timing: id  0 | task 88 | n_decoded =    303, tg =  13.47 t/s, tg_3s =  13.88 t/s
19.13.616.923 I slot print_timing: id  0 | task 88 | n_decoded =    345, tg =  13.52 t/s, tg_3s =  13.90 t/s
19.16.672.571 I slot print_timing: id  0 | task 88 | n_decoded =    388, tg =  13.58 t/s, tg_3s =  14.07 t/s
19.19.720.648 I slot print_timing: id  0 | task 88 | n_decoded =    431, tg =  13.63 t/s, tg_3s =  14.11 t/s
19.22.781.334 I slot print_timing: id  0 | task 88 | n_decoded =    475, tg =  13.70 t/s, tg_3s =  14.38 t/s
19.25.800.515 I slot print_timing: id  0 | task 88 | n_decoded =    517, tg =  13.71 t/s, tg_3s =  13.91 t/s
19.28.864.910 I slot print_timing: id  0 | task 88 | n_decoded =    560, tg =  13.74 t/s, tg_3s =  14.03 t/s
19.31.917.113 I slot print_timing: id  0 | task 88 | n_decoded =    602, tg =  13.74 t/s, tg_3s =  13.76 t/s
19.34.975.471 I slot print_timing: id  0 | task 88 | n_decoded =    645, tg =  13.76 t/s, tg_3s =  14.06 t/s
19.37.981.956 I slot print_timing: id  0 | task 88 | n_decoded =    687, tg =  13.77 t/s, tg_3s =  13.97 t/s
19.41.023.132 I slot print_timing: id  0 | task 88 | n_decoded =    730, tg =  13.79 t/s, tg_3s =  14.14 t/s
19.44.059.234 I slot print_timing: id  0 | task 88 | n_decoded =    773, tg =  13.81 t/s, tg_3s =  14.16 t/s
